id,name,codename,family,house,purpose,trustTier,surfaces,permissionClass,protocols,endpoint,latencyMs,costWeight,billingClass,capabilities,dependencies,version,status
TOOL-093,Compliance Checker,COMPLY-CHECK,AI_CALLS,MEMORY,Checks AI outputs against compliance requirements,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/memory/comply-check,124,1.06,per-token,"ai,comply-check",CONTEXT-BUILDER,1.0.0,active
TOOL-094,Cost Estimator,COST-ESTIMATE,AI_CALLS,PERCEPTION,Estimates compute cost of AI operations,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/perception/cost-estimate,131,1.14,per-token,"ai,cost-estimate",CONTEXT-BUILDER,1.0.0,active
TOOL-095,Latency Predictor,LATENCY-PREDICT,AI_CALLS,COMMUNICATION,Predicts latency for AI inference operations,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/communication/latency-predict,138,1.22,per-token,"ai,latency-predict",CONTEXT-BUILDER,1.0.0,active
TOOL-096,Quality Scorer,QUALITY-SCORE,AI_CALLS,DEFENSE,Scores overall quality of AI-generated content,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/defense/quality-score,145,1.3,per-token,"ai,quality-score",CONTEXT-BUILDER,1.0.0,active
TOOL-097,Benchmark Runner,BENCHMARK-RUN,AI_CALLS,CREATION,Runs standardized benchmarks on AI capabilities,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/creation/benchmark-run,152,1.38,per-token,"ai,benchmark-run",CONTEXT-BUILDER,1.0.0,active
TOOL-098,A/B Tester,AB-TEST,AI_CALLS,ECONOMICS,Runs A/B tests on AI model variants,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/economics/ab-test,159,1.46,per-token,"ai,ab-test",CONTEXT-BUILDER,1.0.0,active
TOOL-099,Prompt Optimizer,PROMPT-OPT,AI_CALLS,INFRASTRUCTURE,Optimizes prompts for better AI performance,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/infrastructure/prompt-opt,166,1.54,per-token,"ai,prompt-opt",CONTEXT-BUILDER,1.0.0,active
TOOL-100,Model Selector,MODEL-SELECT,AI_CALLS,CONSCIOUSNESS,Selects optimal AI model for given task requirements,T2-AI-INVOKE,ai-runtime,ai-call,ICP-AI,organism://nova/consciousness/model-select,173,1.62,per-token,"ai,model-select",CONTEXT-BUILDER,1.0.0,active
TOOL-101,Microservice Blueprint,BP-MICROSERVICE,BLUEPRINTS,CROWN,Template for microservice-based organism architecture,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/crown/bp-microservice,5,0.05,free-tier,"blueprint,architecture,bp-microservice",none,1.0.0,active
TOOL-102,Monolith Blueprint,BP-MONOLITH,BLUEPRINTS,COGNITION,Template for monolithic organism architecture,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/cognition/bp-monolith,7,0.07,free-tier,"blueprint,architecture,bp-monolith",none,1.0.0,active
TOOL-103,Serverless Blueprint,BP-SERVERLESS,BLUEPRINTS,MEMORY,Template for serverless canister-based architecture,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/memory/bp-serverless,9,0.09,free-tier,"blueprint,architecture,bp-serverless",none,1.0.0,active
TOOL-104,Event-Driven Blueprint,BP-EVENT-DRIVEN,BLUEPRINTS,PERCEPTION,Template for event-driven asynchronous architecture,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/perception/bp-event-driven,11,0.11,free-tier,"blueprint,architecture,bp-event-driven",none,1.0.0,active
TOOL-105,CQRS Blueprint,BP-CQRS,BLUEPRINTS,COMMUNICATION,Template for command-query responsibility segregation,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/communication/bp-cqrs,13,0.13,free-tier,"blueprint,architecture,bp-cqrs",none,1.0.0,active
TOOL-106,Domain-Driven Blueprint,BP-DDD,BLUEPRINTS,DEFENSE,Template for domain-driven design architecture,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/defense/bp-ddd,15,0.15,free-tier,"blueprint,architecture,bp-ddd",none,1.0.0,active
TOOL-107,Hexagonal Blueprint,BP-HEXAGONAL,BLUEPRINTS,CREATION,Template for hexagonal ports-and-adapters architecture,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/creation/bp-hexagonal,17,0.17,free-tier,"blueprint,architecture,bp-hexagonal",none,1.0.0,active
TOOL-108,Clean Architecture Blueprint,BP-CLEAN-ARCH,BLUEPRINTS,ECONOMICS,Template for clean architecture with dependency inversion,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/economics/bp-clean-arch,19,0.19,free-tier,"blueprint,architecture,bp-clean-arch",none,1.0.0,active
TOOL-109,Onion Blueprint,BP-ONION,BLUEPRINTS,INFRASTRUCTURE,Template for onion architecture with layered dependencies,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/infrastructure/bp-onion,21,0.21,free-tier,"blueprint,architecture,bp-onion",none,1.0.0,active
TOOL-110,Pipe-Filter Blueprint,BP-PIPE-FILTER,BLUEPRINTS,CONSCIOUSNESS,Template for pipe-and-filter data processing architecture,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/consciousness/bp-pipe-filter,23,0.23,free-tier,"blueprint,architecture,bp-pipe-filter",none,1.0.0,active
TOOL-111,Plugin Blueprint,BP-PLUGIN,BLUEPRINTS,CROWN,Template for extensible plugin-based architecture,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/crown/bp-plugin,5,0.25,free-tier,"blueprint,architecture,bp-plugin",none,1.0.0,active
TOOL-112,Middleware Blueprint,BP-MIDDLEWARE,BLUEPRINTS,COGNITION,Template for middleware chain processing architecture,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/cognition/bp-middleware,7,0.27,free-tier,"blueprint,architecture,bp-middleware",none,1.0.0,active
TOOL-113,Gateway Blueprint,BP-GATEWAY,BLUEPRINTS,MEMORY,Template for API gateway aggregation architecture,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/memory/bp-gateway,9,0.29,free-tier,"blueprint,architecture,bp-gateway",none,1.0.0,active
TOOL-114,Sidecar Blueprint,BP-SIDECAR,BLUEPRINTS,PERCEPTION,Template for sidecar proxy pattern architecture,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/perception/bp-sidecar,11,0.31,free-tier,"blueprint,architecture,bp-sidecar",none,1.0.0,active
TOOL-115,Ambassador Blueprint,BP-AMBASSADOR,BLUEPRINTS,COMMUNICATION,Template for ambassador pattern external service access,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/communication/bp-ambassador,13,0.33,free-tier,"blueprint,architecture,bp-ambassador",none,1.0.0,active
TOOL-116,Saga Blueprint,BP-SAGA,BLUEPRINTS,DEFENSE,Template for saga-based distributed transaction management,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/defense/bp-saga,15,0.35,free-tier,"blueprint,architecture,bp-saga",none,1.0.0,active
TOOL-117,Circuit Breaker Blueprint,BP-CIRCUIT,BLUEPRINTS,CREATION,Template for circuit breaker fault tolerance pattern,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/creation/bp-circuit,17,0.37,free-tier,"blueprint,architecture,bp-circuit",none,1.0.0,active
TOOL-118,Bulkhead Blueprint,BP-BULKHEAD,BLUEPRINTS,ECONOMICS,Template for bulkhead isolation pattern architecture,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/economics/bp-bulkhead,19,0.39,free-tier,"blueprint,architecture,bp-bulkhead",none,1.0.0,active
TOOL-119,Strangler Blueprint,BP-STRANGLER,BLUEPRINTS,INFRASTRUCTURE,Template for strangler fig migration architecture,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/infrastructure/bp-strangler,21,0.41,free-tier,"blueprint,architecture,bp-strangler",none,1.0.0,active
TOOL-120,Anti-Corruption Blueprint,BP-ANTICORRUPT,BLUEPRINTS,CONSCIOUSNESS,Template for anti-corruption layer between domains,T3-TEMPLATE,design-studio,read-only,ICP-BLUEPRINT,organism://nova/consciousness/bp-anticorrupt,23,0.43,free-tier,"blueprint,architecture,bp-anticorrupt",none,1.0.0,active
TOOL-121,Full-Stack Deploy Recipe,RECIPE-FULLSTACK,RECIPES,CROWN,Multi-step workflow for full-stack organism deployment,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/crown/recipe-fullstack,100,0.8,per-execution,"recipe,workflow,recipe-fullstack",CALL-ROUTER,1.0.0,active
TOOL-122,Database Migration Recipe,RECIPE-DB-MIGRATE,RECIPES,COGNITION,Automated workflow for database schema migrations,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/cognition/recipe-db-migrate,115,0.9,per-execution,"recipe,workflow,recipe-db-migrate",CALL-ROUTER,1.0.0,active
TOOL-123,CI/CD Pipeline Recipe,RECIPE-CICD,RECIPES,MEMORY,End-to-end continuous integration and deployment workflow,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/memory/recipe-cicd,130,1.0,per-execution,"recipe,workflow,recipe-cicd",CALL-ROUTER,1.0.0,active
TOOL-124,Monitoring Setup Recipe,RECIPE-MONITOR,RECIPES,PERCEPTION,Automated setup of comprehensive monitoring stack,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/perception/recipe-monitor,145,1.1,per-execution,"recipe,workflow,recipe-monitor",CALL-ROUTER,1.0.0,active
TOOL-125,Alert Configuration Recipe,RECIPE-ALERTS,RECIPES,COMMUNICATION,Multi-step alert rule configuration workflow,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/communication/recipe-alerts,160,1.2,per-execution,"recipe,workflow,recipe-alerts",CALL-ROUTER,1.0.0,active
TOOL-126,Backup Restore Recipe,RECIPE-BACKUP,RECIPES,DEFENSE,Automated backup creation and restore verification,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/defense/recipe-backup,175,1.3,per-execution,"recipe,workflow,recipe-backup",CALL-ROUTER,1.0.0,active
TOOL-127,Load Test Recipe,RECIPE-LOADTEST,RECIPES,CREATION,Orchestrated load testing and results analysis workflow,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/creation/recipe-loadtest,190,1.4,per-execution,"recipe,workflow,recipe-loadtest",CALL-ROUTER,1.0.0,active
TOOL-128,Security Scan Recipe,RECIPE-SECSCAN,RECIPES,ECONOMICS,Multi-stage security scanning and remediation workflow,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/economics/recipe-secscan,205,1.5,per-execution,"recipe,workflow,recipe-secscan",CALL-ROUTER,1.0.0,active
TOOL-129,Performance Audit Recipe,RECIPE-PERFAUDIT,RECIPES,INFRASTRUCTURE,Comprehensive performance auditing workflow,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/infrastructure/recipe-perfaudit,220,1.6,per-execution,"recipe,workflow,recipe-perfaudit",CALL-ROUTER,1.0.0,active
TOOL-130,Accessibility Check Recipe,RECIPE-A11Y,RECIPES,CONSCIOUSNESS,Automated accessibility compliance checking workflow,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/consciousness/recipe-a11y,235,1.7,per-execution,"recipe,workflow,recipe-a11y",CALL-ROUTER,1.0.0,active
TOOL-131,SEO Optimization Recipe,RECIPE-SEO,RECIPES,CROWN,Multi-step SEO analysis and optimization workflow,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/crown/recipe-seo,250,1.8,per-execution,"recipe,workflow,recipe-seo",CALL-ROUTER,1.0.0,active
TOOL-132,API Documentation Recipe,RECIPE-APIDOC,RECIPES,COGNITION,Automated API documentation generation workflow,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/cognition/recipe-apidoc,265,1.9,per-execution,"recipe,workflow,recipe-apidoc",CALL-ROUTER,1.0.0,active
TOOL-133,SDK Generation Recipe,RECIPE-SDKGEN,RECIPES,MEMORY,End-to-end SDK generation and publishing workflow,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/memory/recipe-sdkgen,280,2.0,per-execution,"recipe,workflow,recipe-sdkgen",CALL-ROUTER,1.0.0,active
TOOL-134,Test Suite Recipe,RECIPE-TESTSUITE,RECIPES,PERCEPTION,Automated test suite creation and execution workflow,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/perception/recipe-testsuite,295,2.1,per-execution,"recipe,workflow,recipe-testsuite",CALL-ROUTER,1.0.0,active
TOOL-135,Code Review Recipe,RECIPE-CODEREVIEW,RECIPES,COMMUNICATION,Multi-step automated code review workflow,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/communication/recipe-codereview,310,2.2,per-execution,"recipe,workflow,recipe-codereview",CALL-ROUTER,1.0.0,active
TOOL-136,Dependency Update Recipe,RECIPE-DEPUPDATE,RECIPES,DEFENSE,Automated dependency update and compatibility testing,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/defense/recipe-depupdate,325,2.3,per-execution,"recipe,workflow,recipe-depupdate",CALL-ROUTER,1.0.0,active
TOOL-137,Environment Setup Recipe,RECIPE-ENVSETUP,RECIPES,CREATION,Automated development environment provisioning,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/creation/recipe-envsetup,340,2.4,per-execution,"recipe,workflow,recipe-envsetup",CALL-ROUTER,1.0.0,active
TOOL-138,Feature Flag Recipe,RECIPE-FEATUREFLAG,RECIPES,ECONOMICS,Feature flag creation and rollout management workflow,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/economics/recipe-featureflag,355,2.5,per-execution,"recipe,workflow,recipe-featureflag",CALL-ROUTER,1.0.0,active
TOOL-139,A/B Test Recipe,RECIPE-ABTEST,RECIPES,INFRASTRUCTURE,End-to-end A/B test setup and analysis workflow,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/infrastructure/recipe-abtest,370,2.6,per-execution,"recipe,workflow,recipe-abtest",CALL-ROUTER,1.0.0,active
TOOL-140,Rollback Recovery Recipe,RECIPE-ROLLBACK,RECIPES,CONSCIOUSNESS,Automated rollback and recovery verification workflow,T2-WORKFLOW,orchestrator,execute,ICP-RECIPE,organism://nova/consciousness/recipe-rollback,385,2.7,per-execution,"recipe,workflow,recipe-rollback",CALL-ROUTER,1.0.0,active
TOOL-141,Performance Lens,LENS-PERF,LENSES,CROWN,Views system through performance metrics perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/crown/lens-perf,30,0.1,free-tier,"lens,perspective,lens-perf",ANALYTICS-COLLECT,1.0.0,active
TOOL-142,Security Lens,LENS-SECURITY,LENSES,COGNITION,Views system through security posture perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/cognition/lens-security,35,0.13,free-tier,"lens,perspective,lens-security",ANALYTICS-COLLECT,1.0.0,active
TOOL-143,Cost Lens,LENS-COST,LENSES,MEMORY,Views system through cost optimization perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/memory/lens-cost,40,0.16,free-tier,"lens,perspective,lens-cost",ANALYTICS-COLLECT,1.0.0,active
TOOL-144,Compliance Lens,LENS-COMPLIANCE,LENSES,PERCEPTION,Views system through regulatory compliance perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/perception/lens-compliance,45,0.19,free-tier,"lens,perspective,lens-compliance",ANALYTICS-COLLECT,1.0.0,active
TOOL-145,User Experience Lens,LENS-UX,LENSES,COMMUNICATION,Views system through user experience quality perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/communication/lens-ux,50,0.22,free-tier,"lens,perspective,lens-ux",ANALYTICS-COLLECT,1.0.0,active
TOOL-146,Developer Experience Lens,LENS-DX,LENSES,DEFENSE,Views system through developer experience perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/defense/lens-dx,55,0.25,free-tier,"lens,perspective,lens-dx",ANALYTICS-COLLECT,1.0.0,active
TOOL-147,Reliability Lens,LENS-RELIABILITY,LENSES,CREATION,Views system through reliability and uptime perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/creation/lens-reliability,60,0.28,free-tier,"lens,perspective,lens-reliability",ANALYTICS-COLLECT,1.0.0,active
TOOL-148,Scalability Lens,LENS-SCALABILITY,LENSES,ECONOMICS,Views system through scalability readiness perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/economics/lens-scalability,65,0.31,free-tier,"lens,perspective,lens-scalability",ANALYTICS-COLLECT,1.0.0,active
TOOL-149,Maintainability Lens,LENS-MAINTAIN,LENSES,INFRASTRUCTURE,Views system through code maintainability perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/infrastructure/lens-maintain,70,0.34,free-tier,"lens,perspective,lens-maintain",ANALYTICS-COLLECT,1.0.0,active
TOOL-150,Observability Lens,LENS-OBSERVE,LENSES,CONSCIOUSNESS,Views system through observability coverage perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/consciousness/lens-observe,75,0.37,free-tier,"lens,perspective,lens-observe",ANALYTICS-COLLECT,1.0.0,active
TOOL-151,Data Quality Lens,LENS-DATAQUAL,LENSES,CROWN,Views system through data quality and integrity perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/crown/lens-dataqual,80,0.4,free-tier,"lens,perspective,lens-dataqual",ANALYTICS-COLLECT,1.0.0,active
TOOL-152,Privacy Lens,LENS-PRIVACY,LENSES,COGNITION,Views system through data privacy protection perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/cognition/lens-privacy,85,0.43,free-tier,"lens,perspective,lens-privacy",ANALYTICS-COLLECT,1.0.0,active
TOOL-153,Accessibility Lens,LENS-A11Y,LENSES,MEMORY,Views system through accessibility compliance perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/memory/lens-a11y,30,0.46,free-tier,"lens,perspective,lens-a11y",ANALYTICS-COLLECT,1.0.0,active
TOOL-154,Sustainability Lens,LENS-SUSTAIN,LENSES,PERCEPTION,Views system through environmental sustainability perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/perception/lens-sustain,35,0.49,free-tier,"lens,perspective,lens-sustain",ANALYTICS-COLLECT,1.0.0,active
TOOL-155,Innovation Lens,LENS-INNOVATE,LENSES,COMMUNICATION,Views system through innovation potential perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/communication/lens-innovate,40,0.52,free-tier,"lens,perspective,lens-innovate",ANALYTICS-COLLECT,1.0.0,active
TOOL-156,Risk Lens,LENS-RISK,LENSES,DEFENSE,Views system through risk assessment perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/defense/lens-risk,45,0.55,free-tier,"lens,perspective,lens-risk",ANALYTICS-COLLECT,1.0.0,active
TOOL-157,Governance Lens,LENS-GOVERN,LENSES,CREATION,Views system through governance framework perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/creation/lens-govern,50,0.58,free-tier,"lens,perspective,lens-govern",ANALYTICS-COLLECT,1.0.0,active
TOOL-158,Cultural Lens,LENS-CULTURAL,LENSES,ECONOMICS,Views system through team culture alignment perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/economics/lens-cultural,55,0.11,free-tier,"lens,perspective,lens-cultural",ANALYTICS-COLLECT,1.0.0,active
TOOL-159,Competitive Lens,LENS-COMPETE,LENSES,INFRASTRUCTURE,Views system through competitive advantage perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/infrastructure/lens-compete,60,0.14,free-tier,"lens,perspective,lens-compete",ANALYTICS-COLLECT,1.0.0,active
TOOL-160,Strategic Lens,LENS-STRATEGY,LENSES,CONSCIOUSNESS,Views system through strategic alignment perspective,T3-VIEW,dashboard,read-only,ICP-LENS,organism://nova/consciousness/lens-strategy,65,0.17,free-tier,"lens,perspective,lens-strategy",ANALYTICS-COLLECT,1.0.0,active
TOOL-161,Pre-Deploy Hook,HOOK-PRE-DEPLOY,HOOKS,CROWN,Executes validation checks before deployment begins,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/crown/hook-pre-deploy,5,0.1,per-invocation,"hook,event-driven,hook-pre-deploy",EVENT-EMITTER,1.0.0,active
TOOL-162,Post-Deploy Hook,HOOK-POST-DEPLOY,HOOKS,COGNITION,Executes verification tasks after deployment completes,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/cognition/hook-post-deploy,8,0.14,per-invocation,"hook,event-driven,hook-post-deploy",EVENT-EMITTER,1.0.0,active
TOOL-163,Pre-Commit Hook,HOOK-PRE-COMMIT,HOOKS,MEMORY,Runs code quality checks before commit is finalized,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/memory/hook-pre-commit,11,0.18,per-invocation,"hook,event-driven,hook-pre-commit",EVENT-EMITTER,1.0.0,active
TOOL-164,Post-Commit Hook,HOOK-POST-COMMIT,HOOKS,PERCEPTION,Triggers downstream actions after commit is recorded,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/perception/hook-post-commit,14,0.22,per-invocation,"hook,event-driven,hook-post-commit",EVENT-EMITTER,1.0.0,active
TOOL-165,Pre-Build Hook,HOOK-PRE-BUILD,HOOKS,COMMUNICATION,Prepares environment and validates inputs before build,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/communication/hook-pre-build,17,0.26,per-invocation,"hook,event-driven,hook-pre-build",EVENT-EMITTER,1.0.0,active
TOOL-166,Post-Build Hook,HOOK-POST-BUILD,HOOKS,DEFENSE,Runs artifact verification after build completion,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/defense/hook-post-build,20,0.3,per-invocation,"hook,event-driven,hook-post-build",EVENT-EMITTER,1.0.0,active
TOOL-167,Pre-Test Hook,HOOK-PRE-TEST,HOOKS,CREATION,Sets up test fixtures and environment before testing,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/creation/hook-pre-test,23,0.34,per-invocation,"hook,event-driven,hook-pre-test",EVENT-EMITTER,1.0.0,active
TOOL-168,Post-Test Hook,HOOK-POST-TEST,HOOKS,ECONOMICS,Collects and reports test results after execution,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/economics/hook-post-test,26,0.38,per-invocation,"hook,event-driven,hook-post-test",EVENT-EMITTER,1.0.0,active
TOOL-169,On-Error Hook,HOOK-ON-ERROR,HOOKS,INFRASTRUCTURE,Triggers error handling and notification on failures,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/infrastructure/hook-on-error,29,0.42,per-invocation,"hook,event-driven,hook-on-error",EVENT-EMITTER,1.0.0,active
TOOL-170,On-Recovery Hook,HOOK-ON-RECOVERY,HOOKS,CONSCIOUSNESS,Executes recovery procedures after system restoration,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/consciousness/hook-on-recovery,32,0.46,per-invocation,"hook,event-driven,hook-on-recovery",EVENT-EMITTER,1.0.0,active
TOOL-171,On-Scale Hook,HOOK-ON-SCALE,HOOKS,CROWN,Triggers resource adjustments during scaling events,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/crown/hook-on-scale,5,0.5,per-invocation,"hook,event-driven,hook-on-scale",EVENT-EMITTER,1.0.0,active
TOOL-172,On-Alert Hook,HOOK-ON-ALERT,HOOKS,COGNITION,Executes response procedures when alerts fire,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/cognition/hook-on-alert,8,0.54,per-invocation,"hook,event-driven,hook-on-alert",EVENT-EMITTER,1.0.0,active
TOOL-173,On-Threshold Hook,HOOK-ON-THRESHOLD,HOOKS,MEMORY,Triggers actions when metric thresholds are crossed,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/memory/hook-on-threshold,11,0.58,per-invocation,"hook,event-driven,hook-on-threshold",EVENT-EMITTER,1.0.0,active
TOOL-174,On-Schedule Hook,HOOK-ON-SCHEDULE,HOOKS,PERCEPTION,Executes time-based scheduled automation tasks,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/perception/hook-on-schedule,14,0.62,per-invocation,"hook,event-driven,hook-on-schedule",EVENT-EMITTER,1.0.0,active
TOOL-175,On-Webhook Hook,HOOK-ON-WEBHOOK,HOOKS,COMMUNICATION,Processes incoming webhook payloads from external systems,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/communication/hook-on-webhook,17,0.66,per-invocation,"hook,event-driven,hook-on-webhook",EVENT-EMITTER,1.0.0,active
TOOL-176,On-User-Action Hook,HOOK-ON-USER,HOOKS,DEFENSE,Responds to specific user interaction events,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/defense/hook-on-user,20,0.1,per-invocation,"hook,event-driven,hook-on-user",EVENT-EMITTER,1.0.0,active
TOOL-177,On-Data-Change Hook,HOOK-ON-DATA,HOOKS,CREATION,Triggers workflows when data mutations are detected,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/creation/hook-on-data,23,0.14,per-invocation,"hook,event-driven,hook-on-data",EVENT-EMITTER,1.0.0,active
TOOL-178,On-Config-Update Hook,HOOK-ON-CONFIG,HOOKS,ECONOMICS,Applies changes when configuration is updated,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/economics/hook-on-config,26,0.18,per-invocation,"hook,event-driven,hook-on-config",EVENT-EMITTER,1.0.0,active
TOOL-179,On-Version-Bump Hook,HOOK-ON-VERSION,HOOKS,INFRASTRUCTURE,Triggers release tasks when version is incremented,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/infrastructure/hook-on-version,29,0.22,per-invocation,"hook,event-driven,hook-on-version",EVENT-EMITTER,1.0.0,active
TOOL-180,On-Incident Hook,HOOK-ON-INCIDENT,HOOKS,CONSCIOUSNESS,Initiates incident response procedures automatically,T2-EVENT,event-bus,execute,ICP-HOOK,organism://nova/consciousness/hook-on-incident,32,0.26,per-invocation,"hook,event-driven,hook-on-incident",EVENT-EMITTER,1.0.0,active
TOOL-181,Latency Threshold Trigger,TRIG-LATENCY,TRIGGERS,CROWN,Auto-executes when response latency exceeds threshold,T1-AUTOMATED,trigger-engine,auto-execute,ICP-TRIGGER,organism://nova/crown/trig-latency,3,0.05,per-evaluation,"trigger,condition,trig-latency",ANOMALY-DETECTOR,1.0.0,active
TOOL-182,Error Rate Trigger,TRIG-ERROR-RATE,TRIGGERS,COGNITION,Auto-executes when error rate crosses defined boundary,T1-AUTOMATED,trigger-engine,auto-execute,ICP-TRIGGER,organism://nova/cognition/trig-error-rate,5,0.08,per-evaluation,"trigger,condition,trig-error-rate",ANOMALY-DETECTOR,1.0.0,active
TOOL-183,CPU Usage Trigger,TRIG-CPU,TRIGGERS,MEMORY,Auto-executes when CPU utilization exceeds safe limits,T1-AUTOMATED,trigger-engine,auto-execute,ICP-TRIGGER,organism://nova/memory/trig-cpu,7,0.11,per-evaluation,"trigger,condition,trig-cpu",ANOMALY-DETECTOR,1.0.0,active
TOOL-184,Memory Pressure Trigger,TRIG-MEMORY,TRIGGERS,PERCEPTION,Auto-executes when memory pressure reaches critical level,T1-AUTOMATED,trigger-engine,auto-execute,ICP-TRIGGER,organism://nova/perception/trig-memory,9,0.14,per-evaluation,"trigger,condition,trig-memory",ANOMALY-DETECTOR,1.0.0,active
TOOL-185,Disk Space Trigger,TRIG-DISK,TRIGGERS,COMMUNICATION,Auto-executes when available disk space drops below minimum,T1-AUTOMATED,trigger-engine,auto-execute,ICP-TRIGGER,organism://nova/communication/trig-disk,11,0.17,per-evaluation,"trigger,condition,trig-disk",ANOMALY-DETECTOR,1.0.0,active
